feature_names,PC1,PC2,PC3,PC4,PC5,PC6,cluster
stomp and holler,0.08904719417673897,-0.0044772626685717675,-0.032473086601157344,-0.07617389091037996,0.019875687717575693,-0.1694230615476363,0
modern alternative rock,0.008337937143022247,0.004609995749027991,0.07324859942577927,0.06434769156172025,-0.029012911156902216,-0.11502841481796389,2
devon indie,-8.61580398262108e-05,0.0003079705485393571,0.00013025141709115126,2.440183465767001e-05,0.0003394340217187097,0.0006634759162682138,0
solo wave,0.007361784312483454,-0.005378669087999853,-0.0002154852336912762,-0.0010012917624094547,0.0076151319342393714,0.012363816329610722,0
canadian indie,0.08377321710449052,-0.00945426862961255,0.021917599037287322,-0.03060596110751643,-0.017847512551470244,-0.08485362765357111,0
filter house,-0.007156821527687849,-0.0005734784721082753,0.014404120842934003,0.003923359213193076,0.0014008084855600162,-0.007636931043076226,0
austindie,0.01340449680263945,-5.802133771081895e-05,0.021416760022268527,-0.006780616139839244,-0.044522300169132216,-0.004603475178999448,0
noise pop,0.0887077420510399,0.02957888530203057,0.06323551846932848,-0.04372122220374547,-0.08113550494182313,0.09423901576758624,0
modern power pop,0.019106253633709214,0.013202925647074083,0.005253942177850686,-0.01069761655392344,-0.05081805911454876,0.01614146278722337,0
alternative emo,0.0011287725223660544,0.005182716428537628,-0.004162656306928201,-0.003339924951475914,-0.01165548365897296,0.003825519700854639,0
canadian indie rock,0.033387228335885456,0.003202670155500193,0.03515080145883396,-0.009762685726613533,-0.0441908174315657,-0.011757613035590685,0
emo,0.0022593897559011976,0.005732276260527444,-0.00021400682710133104,-0.0062435621361846055,-0.015120236366210781,0.004460622167802812,0
new england emo,-0.0008248352530885577,0.001999289480839505,-0.003396854845629752,-0.0050625482901889875,-0.01832933619748714,0.008692330554891776,0
canadian rock,0.006090703848511292,0.006888009098879452,0.007107282759128714,-0.006408311687872483,-0.015530173288571078,-0.004423461503396522,0
noise rock,0.00592578079038814,0.0021850756940838736,0.0071548632983336295,-0.0062741232783094115,-0.02398456652098768,0.00992932276747643,0
vancouver indie,0.014306111675984745,0.0032817765955679545,0.009740670260914639,-0.0066336431310729865,-0.009924861969270626,-0.000993529237685597,0
vancouver punk,4.506233551446461e-06,0.0004686358305760375,0.00019543221816108338,-0.0004123142390336004,-0.006334124129376477,0.0008783963886229001,0
popgaze,0.001900804696686312,0.000927358169889548,0.0031676326133598834,-0.002221165631710108,-0.014268448160277877,0.0058950731306791635,0
lo-fi,0.07290196518476931,0.013957282031216914,0.01865245964507281,-0.0720601885067989,-0.07910760809893863,0.06091327299757831,0
cleveland indie,0.0010313291348577724,0.001339925186728844,0.002544070601844179,-0.0022963552667922106,-0.012932274213564588,0.002809204378114151,0
boston indie,0.009706661236004928,0.011520908365729943,-0.03321417893393945,-0.014163982737212828,-0.04733922349014586,0.022639646162600228,0
riot grrrl,0.005800958272260405,0.005282011926624294,0.0024927869210963913,-0.0033160198739068843,-0.027640554324770594,0.009677965157650653,0
